background_id,name,ability_scores,skill_proficiencies,tool_proficiencies,languages,starting_equipment_a,starting_equipment_b,feat_granted,source,version
BG_CRIMINAL,Criminal,"Dexterity, Constitution, Intelligence","Sleight of Hand, Stealth",Thieves' Tools,,"2 Daggers, Thieves' Tools, Crowbar, 2 Pouches, Traveler's Clothes, 16 GP"," 50 GP",Alert,PHB (2024),2024
BG_ENTERTAINER,Entertainer,"Strength, Dexterity, Charisma","Acrobatics, Performance",Choose one kind of Musical Instrument,,"Musical Instrument (same as above), 2 Costumes, Mirror, Perfume, Traveler's Clothes, 11 GP","50 GP",Musician,PHB (2024),2024
BG_FARMER,Farmer,"Strength, Constitution, Wisdom","Animal Handling, Nature",Carpenter's Tools,,"Sickle, Carpenter's Tools, Healer's Kit, Iron Pot, Shovel, Traveler's Clothes, 30 GP"," 50 GP",Tough,PHB (2024),2024
BG_GUARD,Guard,"Strength, Intelligence, Wisdom","Athletics, Perception",Choose one kind of Gaming Set,,"Spear, Light Crossbow, 20 Bolts, Gaming Set (same as above), Hooded Lantern, Manacles, Quiver, Traveler's Clothes, 12 GP"," 50 GP",Alert,PHB (2024),2024
BG_GUIDE,Guide,"Dexterity, Constitution, Wisdom","Stealth, Survival",Cartographer's Tools,,"Shortbow, 20 Arrows, Cartographer's Tools, Bedroll, Quiver, Tent, Traveler's Clothes, 3 GP"," 50 GP",Magic Initiate (Druid),PHB (2024),2024
BG_HERMIT,Hermit,"Constitution, Wisdom, Charisma","Medicine, Religion",Herbalism Kit,,"Quarterstaff, Herbalism Kit, Bedroll, Book (philosophy), Lamp, Oil (3 flasks), Traveler's Clothes, 16 GP"," 50 GP",Healer,PHB (2024),2024
BG_MERCHANT,Merchant,"Constitution, Intelligence, Charisma","Animal Handling, Persuasion",Navigator's Tools,,"Navigator's Tools, 2 Pouches, Traveler's Clothes, 22 GP"," 50 GP",Lucky,PHB (2024),2024
BG_NOBLE,Noble,"Strength, Intelligence, Charisma","History, Persuasion",Choose one kind of Gaming Set,,"Gaming Set (same as above), Fine Clothes, Perfume, 29 GP"," 50 GP",Skilled,PHB (2024),2024
BG_SAGE,Sage,"Constitution, Intelligence, Wisdom","Arcana, History",Calligrapher's Supplies,,"Quarterstaff, Calligrapher's Supplies, Book (history), Parchment (8 sheets), Robe, 8 GP","50 GP",Magic Initiate (Wizard),PHB (2024),2024
BG_SAILOR,Sailor,"Strength, Dexterity, Wisdom","Acrobatics, Perception",Navigator's Tools,,"Dagger, Navigator's Tools, Rope, Traveler's Clothes, 20 GP"," 50 GP",Tavern Brawler,PHB (2024),2024
BG_SCRIBE,Scribe,"Dexterity, Intelligence, Wisdom","Investigation, Perception",Calligrapher's Supplies,,"Calligrapher's Supplies, Fine Clothes, Lamp, Oil, Parchment (12 sheets), 23 GP"," 50 GP",Skilled,PHB (2024),2024
BG_SOLDIER,Soldier,"Strength, Dexterity, Constitution","Athletics, Intimidation",Choose one kind of Gaming Set,,"Spear, Shortbow, 20 Arrows, Gaming Set (same as above), Healer's Kit, Quiver, Traveler's Clothes, 14 GP"," 50 GP",Savage Attacker,PHB (2024),2024
BG_WAYFARER,Wayfarer,"Dexterity, Wisdom, Charisma","Insight, Stealth",Thieves' Tools,,"2 Daggers, Thieves' Tools, Gaming Set (any), Bedroll, 2 Pouches, Traveler's Clothes, 16 GP","50 GP",Lucky,PHB (2024),2024
BG_ACOLYTE,Acolyte,"Intelligence, Wisdom, Charisma","Insight, Religion",Calligrapher's Supplies,,"Calligrapher's Supplies , Book (prayers), Holy Symbol , Parchment (10 sheets), Robe , 8 GP","50 GP",Magic Initiate (Cleric),PHB (2024),2024
BG_ARTISAN,Artisan,"Strength, Dexterity , Intelligence","Investigation, Persuasion",Choose one kind of Artisan's Tools,,"Artisan's Tools (same as above), 2 Pouches , Travelers Clothes , 32 GP","50 GP",Crafter,PHB (2024),2024
BG_CHARLATAN,Charlatan,"Dexterity , Constitution, Charisma","Deception, Sleight of Hand",Forgery Kit,," Forgery Kit , Costume , Fine Clothes , 15 GP"," 50 GP",Skilled,PHB (2024),2024