"class_id","name","primary_ability","hit_die","armor_proficiencies","weapon_proficiencies","tool_proficiencies","saving_throws","skill_choices","starting_equipment_a","starting_equipment_b","starting_equipment_c","spellcasting","description","core_traits","features_table","class_features","multiclassing","subclasses","source","version"
"CLS_BARD","Bard","Charisma","d8","Light armor","Simple weapons","Choose 3 Musical Instruments","Dexterity, Charisma","Choose any 3 skills","Leather Armor, 2 Daggers, Musical Instrument of your choice, Entertainer's Pack, and 19 GP",90 GP,,"Yes",,,,,,,"PHB (2024)","2024"
"CLS_BARBARIAN","Barbarian","Strength","d12","Light, Medium, Shields","Simple, Martial","","Strength, Constitution","Choose 2: Animal Handling, Athletics, Intimidation, Nature, Perception, or Survival","Greataxe, 4 Handaxes, Explorers Pack, and 15 GP",75 GP,,"No",,,,,,,"PHB (2024)","2024"
"CLS_CLERIC","Cleric","Wisdom","d8","Light, Medium, Shields","Simple weapons","","Wisdom, Charisma","Choose 2: History, Insight, Medicine, Persuasion, or Religion","Chain Shirt, Shield, Mace, Holy Symbol, Priest's Pack, and 7 GP",110 GP,,"Yes",,,,,,,"PHB (2024)","2024"
"CLS_DRUID","Druid","Wisdom","d8","Light armor, Shields","Simple weapons","Herbalism Kit","Intelligence, Wisdom","Choose 2: Animal Handling, Arcana, Insight, Medicine, Nature, Perception, Religion, or Survival"," Leather Armor, Shield, Sickle, Druidic Focus (Quarterstaff), Explorer's Pack, Herbalism Kit, and 9 GP",50 GP,,"Yes",,,,,,,"PHB (2024)","2024"
"CLS_FIGHTER","Fighter","Strength or Dexterity","d10","Light, Medium, Heavy, Shields","Simple, Martial","","Strength, Constitution","Choose 2: Acrobatics, Animal Handling, Athletics, History, Insight, Intimidation, Persuasion, Perception, or Survival"," Chain Mail, Greatsword, Flail, 8 Javelins, Dungeoneers Pack, and 4 GP","Studded Leather Armor, Scimitar, Shortsword, Longbow, 20 Arrows, Quiver, Dungeoneer’s Pack, and 11 GP"," 155 GP","No",,,,,,,"PHB (2024)","2024"
"CLS_MONK","Monk","Dexterity and Wisdom","d8","None","Simple weapons; Martial weapons with Light","","Strength, Dexterity","Choose 2: Acrobatics, Athletics, History, Insight, Religion, or Stealth"," Spear, 5 Daggers, Artisan's Tools or Musical Instrument, Explorer's Pack, and 11 GP"," 50 GP",,"No",,,,,,,"PHB (2024)","2024"
"CLS_PALADIN","Paladin","Strength and Charisma","d10","Light, Medium, Heavy, Shields","Simple, Martial","","Wisdom, Charisma","Choose 2: Athletics, Insight, Intimidation, Medicine, Persuasion, or Religion"," Chain Mail, Shield, Longsword, 6 Javelins, Holy Symbol, Priest's Pack, and 9 GP"," 150 GP",,"Yes",,,,,,,"PHB (2024)","2024"
"CLS_RANGER","Ranger","Dexterity and Wisdom","d10","Light, Medium, Shields","Simple, Martial","","Strength, Dexterity","Choose 3: Animal Handling, Athletics, Insight, Investigation, Nature, Perception, Stealth, or Survival"," Studded Leather Armor, Scimitar, Shortsword, Longbow, 20 Arrows, Quiver, Druidic Focus (sprig of mistletoe), Explorer's Pack, and 7 GP"," 150 GP",,"Yes",,,,,,,"PHB (2024)","2024"
"CLS_ROGUE","Rogue","Dexterity","d8","Light armor","Simple weapons; Martial weapons with Finesse or Light","Thieves' Tools","Dexterity, Intelligence","Choose 4: Acrobatics, Athletics, Deception, Insight, Intimidation, Investigation, Perception, Persuasion, Sleight of Hand, or Stealth"," Leather Armor, 2 Daggers, Shortsword, Shortbow, 20 Arrows, Quiver, Thieves' Tools, Burglar's Pack, and 8 GP"," 100 GP",,"No",,,,,,,"PHB (2024)","2024"
"CLS_SORCERER","Sorcerer","Charisma","d6","None","Simple weapons","","Constitution, Charisma","Choose 2: Arcana, Deception, Insight, Intimidation, Persuasion, or Religion"," Spear, 2 Daggers, Arcane Focus (crystal), Dungeoneer's Pack, and 28 GP"," 50 GP",,"Yes",,,,,,,"PHB (2024)","2024"
"CLS_WARLOCK","Warlock","Charisma","d8","Light armor","Simple weapons","","Wisdom, Charisma","Choose 2: Arcana, Deception, History, Intimidation, Investigation, Nature, or Religion"," Leather Armor, Sickle, 2 Daggers, Arcane Focus (orb), Book (occult lore), Scholar's Pack, and 15 GP"," 100 GP",,"Yes",,,,,,,"PHB (2024)","2024"
"CLS_WIZARD","Wizard","Intelligence","d6","None","Simple weapons","","Intelligence, Wisdom","Choose 2: Arcana, History, Insight, Investigation, Medicine, Nature, or Religion"," 2 Daggers, Arcane Focus (Quarterstaff), Robe, Spellbook, Scholar's Pack, and 5 GP"," 55 GP",,"Yes",,,,,,,"PHB (2024)","2024"