term,definition
Ability Check,An ability check is a D20 Test that represents using one of the six abilities—or a specific skill associated with an ability— to overcome a challenge. See also chapter 1 (“ D20 Tests ” and “ Proficiency ”).
Ability Score and Modifier,"A creature has six ability scores—Strength, Dexterity , Constitution, Intelligence, Wisdom, and Charisma—each of which has a corresponding modifier . Add the modifier when you make a D20 Test with the corresponding ability or when a rule asks you to do so. See also chapter 1 (“ The Six Abilities ”)."
Action,"On your turn, you can take one action. Choose which action to take from those below or from the special actions provided by your features. See also chapter 1 (“ Actions ”). These actions are defined elsewhere in this glossary:"
Advantage,"If you have Advantage on a D20 Test, roll two d20s, and use the higher roll. A roll can ’t be affected by more than one Advantage, and Advantage and Disadvantage on the same roll cancel each other . See also chapter 1 (“ D20 Tests ”)."
Adventure,An adventure is a series of encounters. A story emerges through playing them. See also “Encounter .”
Alignment,"A creature’s alignment broadly describes its ethical attitudes and ideals. Alignment is a combination of two factors: one identifies morality (good, evil, or neutral), and the other describes attitudes toward order (lawful, chaotic, or neutral). These factors allow for nine possible combinations, such as Lawful Good and Neutral Evil. See also chapter 2 (“ Create Your Character ”)."
Ally,"A creature is your ally if it is a member of your adventuring party, your friend, on your side in combat, or a creature that the rules or the DM designates as your ally ."
Area of Effect,"The descriptions of many spells and other features specify that they have an area of effect, which typically has one of six shapes. These shapes are defined elsewhere in this glossary:"
Sphere,"An area of effect has a point of origin, a location from which the effect’s energy erupts. The rules for each shape specify how to position its point of origin. If all straight lines extending from the point of origin to a location in the area of effect are blocked, that location isn ’t included in the area of effect. To block a line, an obstruction must provide Total Cover. See also “Cover.” If the creator of an area of effect places it at an unseen point and an obstruction—such as a wall—is between the creator and that point, the point of origin comes into being on the near side of the obstruction."
Armor Class,"An Armor Class (A C) is the target number for an attack roll. A C represents how diﬃcult it is to hit a target. Your base A C calculation is 10 plus your Dexterity modifier . If a rule giv es you another base A C calculation, you choose which calculation to use; you can ’t use more than one. See also “Attack Roll .”"
Armor Training,"Armor tr aining allows you to use armor of a cer tain categor y without the following dr awbacks. If you wear Light, Medium, or Heavy armor and lack tr aining with it, you have Disadvantage on any D20 Test that inv olves Strength or Dexterity , and you can ’t cast spells. If you use a Shield and lack tr aining with it, you don ’t gain its A C bonus. See also “Disadvantage ” and chapter 6 (“ Armor ”)."
Attack [Action],"When you take the Attack action, you can make one attack roll with a weapon or an Unarmed Strik e. Equipping and Unequipping Weapons. You can either equip or unequip one weapon when you make an attack as par t of this action. you do so either before or after the attack. If you equip a weapon before an attack, you don ’t need to use it for that attack. E quipping a weapon includes dr awing it from a sheath or picking it up. Unequipping a weapon includes sheathing, st owing, or dr opping it. Moving between Attacks. If you mo ve on your turn and have a f eatur e, such as Extr a Attack, that giv es you more than one attack as par t of the Attack action, you can use some or all of that movement to mo ve between those attacks."
Attack Roll,"An attack roll is a D20 Test that represents making an attack with a weapon, an Unarmed Strik e, or a spell. See also chapter 1 (“ D20 Tests ”)."
Attitude,"A monster has a star ting attitude toward a pla yer character: F riendly , Hostile, or Indiff erent. See also “Friendly ,” “Hostile ,” “Indiff erent,” and “ Influence .”"
Attunement,Some magic items r equir e a creature to form a bond—called A ttunement—with them before the creature can use an item ’s magical pr oper ties. A creature can have Attunement with no more than thr ee magic items at a time. See also chapter 6 (“ Magic Items ”).
Blinded [Condition],"While you have the Blinded condition, you experience the following effects. Can’t See. You can ’t see and aut omatically fail any ability check that r equir es sight. Attacks affected. Attack rolls against you have Advantage , and your attack rolls have Disadvantage ."
Blindsight,"If you have Blindsight, you can see within a specific range without r elying on physical sight. Within that range, you can see anything that isn ’t behind Total Cover even if you have the Blinded condition or are in Darkness . Mor eover, in that range, you can see something that has the Invisible condition."
Bloodied,A creature is Bloodied while it has half its Hit Points or fewer r emaining.
Bonus Action,"A Bonus Action is a special action that you can take on the same turn that you take an action. you can ’t take more than one Bonus Action on a turn, and you have a Bonus Action to take only if a rule explicitly sa ys so. See also chapter 1 (“Actions ”)."
Breaking Objects,"Objects can be harmed by attacks and by some spells, using the rules below . If an object is ex ceedingly fr agile, the DM may allow a creature to break it aut omatically with the Attack or Utiliz e action. Armor Class. The Object Armor Class table suggests A Cs for v arious substances."
AC Substance,"11 Cloth, paper , rope 13 Crystal, glass, ice"
17 Stone,"19 Iron, steel"
23 Adamantine,"Hit Points. An object is destr oyed when it has 0 Hit Points . The Object Hit Points table suggests Hit Points for fr agile and r esilient objects that are Lar ge or smaller . To track Hit Points for a Huge or Gar gantuan object, divide it into Lar ge or smaller sections, and tr ack each section ’s Hit Points separ ately . The DM determines whether destr oying par t of an object causes the whole thing to collapse."
Size Fragile Resilient,"Tiny (bottle, lock) 2 (1d4) 5 (2d4) Small (chest, lute) 3 (1d6) 10 (3d6) Medium (barr el, chandelier) 4 (1d8) 18 (4d8) Large (car t, dining table) 5 (1d10) 27 (5d10) Damage Types and Objects. Objects have Immunity to Poison and Psy chic damage. The DM might decide that some damage types are more or less eff ectiv e against an object. for example, Bludgeoning damage works well for smashing things but not for cutting. P aper or cloth objects might have Vulner ability to Fir e damage. Damage Threshold. Big objects, such as castle walls, often have extr a resilience r epresented by a damage thr eshold. See also “Damage Threshold .” No Ability Scores. An object lacks ability scores unless a rule assigns scores to the object. Without ability scores, an object can ’t make ability checks, and it fails all saving throws."
Bright Light,Bright Light is normal illumination. See also chapter 1 (“ Explor ation ”).
Burning [Hazar d],"A burning creature or object takes 1d4 Fir e damage at the star t of each of its turns. As an action, you can extinguish fir e on yourself by giving y ourself the Prone condition and r olling on the gr ound. The fir e also goes out if it is doused, submer ged, or suffocated."
Burrow Speed,"A creature that has a Burr ow Speed can use that speed to mo ve through sand, ear th, mud, or ice. The creature can ’t burrow through solid r ock unless the creature has a tr ait that allows it to do so. See also “Speed .”"
Campaign,A campaign is a series of adventures. See also “Adventure.”
Cantrip,"A cantrip is a le vel 0 spell, which is cast without a spell slot. See also chapter 7 ."
Carr ying Capacity,"Your siz e and Strength score determine the maximum weight in pounds that you can carr y, as shown in the Carr ying Capacity table. The table also shows the maximum weight you can dr ag, lift, or push. While dr agging, lifting, or pushing weight in ex cess of the maximum weight you can carr y, your Speed can be no more than 5 feet."
Creature Siz e Carr y Drag/Lift/Push,Tiny Str. × 7.5 lb. Str. × 15 lb. Small/Medium Str. × 15 lb. Str. × 30 lb. Large Str. × 30 lb. Str. × 60 lb. Huge Str. × 60 lb. Str. × 120 lb. Gargantuan Str. × 120 lb. Str. × 240 lb.
Challenge Rating,"Challenge Rating (CR) summariz es the thr eat a monster poses to a gr oup of four pla yer char acters. Compar e a monster ’s CR to the characters’ le vel. If the CR is higher , the monster is lik ely a danger . If the CR is lower , the monster likely poses little thr eat. But cir cumstances and the number of pla yer characters can significantly alter how thr eatening a monster is in actual pla y. The Dungeon Master ’s Guide provides guidance to the DM on using CR while planning potential combat encounters. See also “Stat Block .”"
Character Sheet,A character sheet is a paper or digital r ecor d that you use to track your character ’s information. See also chapter 2 .
Charmed [Condition],"While you have the Charmed condition, you experience the following effects. Can’t Harm the Charmer . You can ’t attack the charmer or target the charmer with damaging abilities or magical effects. Social Advantage. The charmer has Advantage on any ability check to inter act with you socially ."
Climbing,"While you’re climbing, each foot of movement costs 1 extr a foot (2 extr a feet in Diﬃcult Terrain). You ignor e this extr a cost if you have a Climb Speed and use it to climb. At the DM’ s option, climbing a slipper y sur face or one with f ew handholds might r equir e a successful DC 15 Strength ( A thletics ) check."
Climb Speed,A Climb Speed can be used in place of Speed to traverse a v ertical sur face without expending the extr a movement normally associated with climbing. See also “Climbing ” and “ Speed .”
Concentration,"Some spells and other effects r equir e Concentration to remain activ e, as specified in their descriptions. If the effect’s creator loses Concentration, the effect ends. If the effect has a maximum dur ation, the effect’s description specifies how long the creator can concentr ate on it: up to 1 minute, 1 hour , or some other dur ation. The cr eator can end Concentration at any time (no action r equir ed). The following factors br eak Concentration. Another Concentration Effect. You lose Concentration on an effect the moment you star t casting a spell that r equir es Concentration or activ ate another effect that r equir es Concentration. Damage. If you take damage, you must succeed on a Constitution saving throw to maintain Concentration. The DC equals 10 or half the damage tak en (r ound down), whiche ver number is higher , up to a maximum DC of 30. Incapacitated or Dead. Your Concentration ends if you have the Incapacitated condition or you die."
Condition,"A condition is a temporary game state. The definition of a condition sa ys how it aff ects its r ecipient, and v arious rules define how to end a condition. This glossary defines these conditions:"
Unconscious,A condition doesn ’t stack with itself; a r ecipient either has a condition or doesn ’t. The Exhaustion condition is an exception to that rule. See also chapter 1 (“ Conditions ”).
Cone [area of Effect],"A Cone is an area of effect that extends in straight lines from a point of origin in a dir ection its cr eator chooses. A Cone ’s width at any point along its length is equal to that point’ s distance from the point of origin. for example, a Cone is 15 feet wide at a point along its length that is 15 feet from the point of origin. The effect that creates a Cone specifies its maximum length. A Cone ’s point of origin isn ’t included in the area of effect unless its cr eator decides other wise."
Cover,"Cover provides a degr ee of pr otection to a target behind it. There are thr ee degr ees of cover, each of which provides a different benefit to a target: Half Cover (+2 bonus to AC and Dexterity saving throws), Three-Quar ters Cover (+5 bonus to AC and Dexterity saving throws), and Total Cover (can ’t be tar geted dir ectly). If behind more than one degr ee of cover, a target benefits only from the most pr otectiv e degr ee. See also chapter 1 (“ Combat ”)."
Crawling,"While you’re crawling, each foot of movement costs 1 extr a foot (2 extr a feet in Diﬃcult Terrain). See also “Speed .”"
Creature,"Any being in the game, including a pla yer’s character , is a creature. See also “Creature Type.”"
Creature Type,"Every creature, including e very pla yer char acter , has a tag in the rules that identifies the type of creature it is. Most pla yer char acters are of the Humanoid type. These are the game ’s creature types:"
Undead,"The types don ’t have rules themselv es, but some rules in the game aff ect creatures of cer tain types in diff erent wa ys."
Critical Hit,"If you roll a 20 on the d20 for an attack roll, you score a Critical Hit, and the attack hits r egar dless of any modifiers or the target’s AC. A Critical Hit lets you roll extr a dice for the attack’ s damage against the target. Roll all of the attack’ s damage dice twice and add them t ogether . Then add any r elevant modifiers. See also chapter 1 (“ Damage and Healing ”)."
Cube [area of Effect],"A Cube is an area of effect that extends in straight lines from a point of origin located anywher e on a face of the Cube. The effect that creates a Cube specifies its siz e, which is the length of each side. A Cube ’s point of origin isn ’t included in the area of effect unless its cr eator decides other wise."
Curses,Some game effects curse a creature or an object. The effect that conf ers a curse defines what the curse does. Curses can be r emo ved by the Remo ve Curse and Greater Rest oration spells or other magic that explicitly ends curses.
Cylinder [area of Effect],A Cylinder is an area of effect that extends in straight lines from a point of origin located at the center of the cir cular t op or bott om of the Cylinder . The effect that creates a Cylinder specifies the r adius of the Cylinder ’s base and the Cylinder ’s height. A Cylinder ’s point of origin is included in the area of effect.
D20 Test,"D20 Tests encompass the thr ee main d20 rolls of the game: ability checks , attack rolls, and saving thr ows. If something in the game aff ects D20 Tests, it aff ects all thr ee of these rolls. The DM determines whether a D20 Test is warr anted in a given cir cumstance. See also chapter 1 (“ D20 Tests ”)."
Damage,Damage represents harm that causes a creature or an object to lose Hit Points .
Damage Roll,"A damage roll is a die roll, adjusted by any applicable modifiers, that deals damage to a target. See also chapter 1 (“Damage and Healing ”)."
Damage Threshold,"A creature or an object that has a damage thr eshold has Immunity to all damage unless it takes an amount of damage from a single attack or effect equal to or gr eater than its damage thr eshold, in which case it takes that entir e instance of damage. Any damage that fails to meet or ex ceed the damage thr eshold is superficial and doesn ’t reduce Hit Points . For example, if an object has a damage thr eshold of 10, the object takes no damage if 9 damage is dealt to it, since that damage fails to exceed the thr eshold. If the same object is dealt 11 damage, it takes all of that damage."
Damage Types,"Attacks and other harmful effects deal diff erent types of damage. Damage types have no rules of their own, but other rules, such as Resistance , rely on the types. The Damage Types table off ers examples to help a DM assign a type to a new effect."
Type Examples,"Acid Corr osive liquids, digestiv e enzymes Bludgeoning Blunt objects, constriction, falling Cold Freezing water , icy blasts Fire Flames, unbear able heat"
Necr otic Life-draining energy,"Piercing Fangs, puncturing objects Poison Toxic gas, v enom"
Psychic Mind-r ending energy,"Radiant Holy energy, searing r adiation Slashing Claws, cutting objects"
Darkness,An area of Darkness is Hea vily Obscur ed. See also “Heavily Obscur ed” and chapter 1 (“ Explor ation ”).
Darkvision,"If you have Darkvision, you can see in Dim Light within a specified range as if it wer e Bright Light and in Darkness within that range as if it wer e Dim Light. you discern colors in that Darkness only as shades of gr ay. See also chapter 1 (“Explor ation ”)."
Dash [Action],"When you take the Dash action, you gain extr a movement for the curr ent turn. The incr ease equals your Speed after applying any modifiers. With a Speed of 30 feet, for example, you can mo ve up to 60 feet on your turn if you Dash. If your Speed of 30 feet is r educed to 15 feet, you can mo ve up to 30 feet this turn if you Dash. If you have a special speed, such as a Fly Speed or Swim Speed , you can use that speed instead of your Speed when you take this action. you choose which speed to use each time you take it. See also “Speed .”"
Dead,"A dead creature has no Hit Points and can ’t regain them unless it is first r evived by magic such as the Raise Dead or Revivify spell. When such a spell is cast, the spirit knows who is casting it and can r efuse. The spirit of a dead creature has left the body and depar ted for the Outer Planes, and r eviving the creature requir es calling the spirit back. If the creature returns to life, the r evival effect determines the creature’s curr ent Hit Points. Unless other wise stated, the creature returns to life with any conditions, magical contagions, or curses that wer e aff ecting it at death if the dur ations of those effects are still ongoing. If the creature died with any Exhaustion levels, it r eturns with 1 f ewer le vel. If the creature had Attunement to one or more magic items, it is no longer attuned to them."
Deaf ened [Condition],"While you have the Deaf ened condition, you experience the following effect. Can’t Hear . You can ’t hear and aut omatically fail any ability check that r equir es hearing."
Death Saving Throw,A pla yer character must make a Death Saving Throw (also called a Death Sa ve) if they star t their turn with 0 Hit Points . See also chapter 1 (“ Damage and Healing ”).
Dehy dration [Hazar d],"A creature requir es an amount of water per da y based on its siz e, as shown in the W ater Needs per Da y table. A creature that drinks less than half the r equir ed water for a da y gains 1 Exhaustion le vel at the da y’s end. Exhaustion caused by dehy dration can ’t be r emo ved until the creature drinks the full amount of water r equir ed for a da y. See also “Exhaustion .”"
Gargantuan 64 gallons,"Diﬃcult Terrain If a space is Diﬃcult Terrain, e very foot of movement in that space costs 1 extr a foot. for example, mo ving 5 feet through Diﬃcult Terrain costs 10 feet of movement. Diﬃcult Terrain isn ’t cumulativ e; either a space is Diﬃcult Terrain or it isn ’t. A space is Diﬃcult Terrain if the space contains any of the following or something similar: A creature that isn ’t Tiny or your ally Furnitur e that is siz ed for creatures of your siz e or lar ger Heavy snow , ice, rubble, or under growth Liquid that’ s between shin- and waist-deep A narr ow opening siz ed for a creature one siz e smaller than you"
A slope of 20 degr ees or more,Diﬃculty Class A Diﬃculty Class (DC ) is the target number for an ability check or a saving throw. See also chapter 1 (“ D20 Tests ”).
Dim Light,An area with Dim Light is Lightly Obscur ed. See also “Lightly Obscur ed” and chapter 1 (“ Explor ation ”).
Disadvantage,"If you have Disadvantage on a D20 Test, roll two d20s and use the lower roll. A roll can ’t be affected by more than one Disadvantage, and Advantage and Disadvantage on the same roll cancel each other . See also chapter 1 (“ D20 Tests ”)."
Disengage [Action],"If you take the Disengage action, your movement doesn ’t provoke Opportunity Attacks for the r est of the curr ent turn."
Dodge [Action],"If you take the Dodge action, you gain the following benefits: until the star t of your next turn, any attack roll made against you has Disadvantage if you can see the attack er, and you make Dexterity saving throws with Advantage . You lose these benefits if you have the Incapacitated condition or if your Speed is 0."
Emanation [area of Effect],An Emanation is an area of effect that extends in straight lines from a creature or an object in all dir ections. The effect that creates an Emanation specifies the distance it extends. An Emanation mo ves with the creature or object that is its origin unless it is an instantaneous or a stationar y effect. An Emanation ’s origin (creature or object) isn ’t included in the area of effect unless its cr eator decides other wise.
Encounter,"An encounter is a scene in an adventure that is par t of at least one of the game ’s thr ee pillars: social inter action, explor ation, or combat. See also chapter 1 (“ Social Inter action ,” “Explor ation ,” and “ Combat ”)."
Enemy,"A creature is your enemy if it fights against you in combat, activ ely works to harm you, or is designated as your enemy by the rules or DM."
Exhaustion [Condition],"While you have the Exhaustion condition, you experience the following effects. Exhaustion Le vels. This condition is cumulativ e. Each time you receiv e it, you gain 1 Exhaustion le vel. You die if your Exhaustion le vel is 6. D20 Tests affected. When you make a D20 Test, the roll is r educed by 2 times your Exhaustion le vel. Speed Reduced. Your Speed is reduced by a number of feet equal to 5 times your Exhaustion le vel. Remo ving Exhaustion Le vels. Finishing a Long Rest remo ves 1 of your Exhaustion le vels. When your Exhaustion le vel reaches 0, the condition ends."
Experience Points,"As they overcome challenges and complete adventures, characters earn Experience Points (XP), which are awar ded by the Dungeon Master . When a character ’s XP total cr osses cer tain thr esholds, the character ’s level incr eases. The Dungeon Master ’s Guide provides guidance on awar ding XP . See also chapter 2 (“ Level Adv ancement ”)."
Exper tise,"Exper tise is a f eatur e that enhances your use of a skill pr oficiency . When you make an ability check with a skill proficiency in which you have Exper tise, your Proficiency Bonus is doubled for that check unless the bonus is doubled by another feature. If you gain Exper tise, you gain it in one skill in which you have proficiency . You can ’t have Exper tise in the same skill proficiency more than once. See also chapter 1 (“ Proficiency ”)."
Falling [Hazar d],"A creature that falls takes 1d6 Bludgeoning damage at the end of the fall for e very 10 feet it f ell, to a maximum of 20d6. When the creature lands, it has the Prone condition unless it a voids taking any damage from the fall. A creature that falls into water or another liquid can use its Reaction to make a DC 15 Strength ( A thletics ) or Dexterity ( Acr obatics ) check to hit the sur face head or feet first. On a successful check, any damage r esulting from the fall is halved."
Flying,"A variety of effects allow a creature to fly. While flying, you fall if you have the Incapacitated or Prone condition or your Fly Speed is r educed to 0. you can sta y aloft in those cir cumstances if you can ho ver. See also “Falling ” and “ Fly Speed .”"
Fly Speed,"A Fly Speed can be used to travel through the air . While you have a Fly Speed, you can sta y aloft until you land, fall, or die. See also “Flying ” and “ Speed .”"
Friendly [A ttitude],A Friendly creature views you fa vorably. You have Advantage on an ability check to influence a F riendly creature. See also “Influence .”
Frightened [Condition],"While you have the Frightened condition, you experience the following effects. Ability Checks and Attacks affected. You have Disadvantage on ability checks and attack rolls while the sour ce of f ear is within line of sight. Can’t Approach. You can ’t willingly mo ve closer to the sour ce of f ear."
Grappled [Condition],"While you have the Grappled condition, you experience the following effects. Speed 0. Your Speed is 0 and can ’t incr ease. Attacks affected. You have Disadvantage on attack rolls against any target other than the gr appler . Movable. The gr appler can dr ag or carr y you when it mo ves, but e very foot of movement costs it 1 extr a foot unless you are Tiny or two or more siz es smaller than it."
Grappling,"A creature can gr apple another creature. Characters typically gr apple by using an Unarmed Strik e. Many monsters have special attacks that allow them to quickly gr apple pr ey. Howe ver a gr apple is initiated, it follows these rules. See also “Unarmed Strik e” and “ Grappled .” Grappled Condition. Successfully gr appling a creature giv es it the Grappled condition. One Gr apple per Hand. A creature must have a hand fr ee to grapple another creature. Some stat blocks and game effects allow a creature to grapple using a tentacle, a maw , or another body par t. Whate ver par t a gr appler uses, it can grapple only one creature at a time with that par t, and the gr appler can ’t use that par t to target another creature unless it ends the gr apple. Ending a Gr apple. A Grappled creature can use its action to make a Strength ( A thletics ) or Dexterity ( Acr obatics ) check against the gr apple ’s escape DC, ending the condition on itself on a success. The condition also ends if the gr appler has the Incapacitated condition or if the distance between the Grappled target and the gr appler ex ceeds the gr apple ’s range. In addition, the gr appler can r elease the target at any time (no action r equir ed)."
Hazar d,"A hazar d is an envir onmental danger . See also “Burning ,” “Dehy dration ,” “Falling ,” “Malnutrition ,” and “ Suffocation .”"
Healing,Healing is how you regain Hit Points . See also chapter 1 (“ Damage and Healing ”).
Heavily Obscur ed,"You have the Blinded condition while tr ying to see something in a Hea vily Obscur ed space. See also “Blinded ,” “Darkness ,” and chapter 1 (“ Explor ation ”)."
Help [Action],"When you take the Help action, you do one of the following. Assist an Ability Check. Choose one of your skill or t ool pr oficiencies and one ally who is near enough for you to assist verbally or physically when they make an ability check. That ally has Advantage on the next ability check they make with the chosen skill or t ool. This benefit expir es if the ally doesn ’t use it before the star t of your next turn. The DM has final say on whether your assistance is possible. Assist an Attack Roll. You momentarily distr act an enemy within 5 feet of you, giving Advantage to the next attack roll by one of your allies against that enemy . This benefit expir es at the star t of your next turn."
Heroic Inspir ation,"If you (a pla yer character) have Her oic Inspir ation, you can expend it to reroll any die immediately after r olling it, and you must use the new roll. If you gain Her oic Inspir ation but alr eady have it, it’ s lost unless you giv e it to a pla yer character who lacks it."
Hide [Action],"With the Hide action, you tr y to conceal y ourself. To do so, you must succeed on a DC 15 Dexterity ( Stealth ) check while you’re Heavily Obscur ed or behind Three-Quar ters Cover or Total Cover, and you must be out of any enemy ’s line of sight; if you can see a creature, you can discern whether it can see you. On a successful check, you have the Invisible condition while hidden. Make note of your check’ s total, which is the DC for a creature to find you with a Wisdom ( P er ception ) check. You st op being hidden immediately after any of the following occurs: you make a sound louder than a whisper , an enemy finds you, you make an attack roll, or you cast a spell with a Verbal component."
High Jump,"When you make a High Jump, you leap into the air a number of feet equal to 3 plus your Strength modifier (minimum of 0 feet) if you mo ve at least 10 feet on foot immediately before the jump. When you make a standing High Jump, you can jump only half that distance. Either wa y, each foot of the jump costs a foot of movement. You can extend your arms half your height abo ve yourself during the jump. Thus, you can r each a distance equal to the height of the jump plus 1½ times your height."
Hit Point Dice,"Hit Point Dice, or Hit Dice for shor t, help determine a pla yer character ’s Hit Point maximum, as explained in chapter 2 . Most monsters also have Hit Dice. A creature can spend Hit Dice during a Shor t Rest to regain Hit Points . See also “Shor t Rest .”"
Hit Points,"Hit Points (HP) area measur e of how diﬃcult it is to kill or destr oy a creature or an object. Damage r educes Hit Points, and healing r estores them. you can ’t have more Hit Points than your Hit Point maximum, and you can ’t have less than 0. See also “Breaking Objects ” and chapter 1 (“ Damage and Healing ”)."
Hostile [A ttitude],A Hostile creature views you unfa vorably. You have Disadvantage on an ability check to influence a Hostile creature. See also “Influence .”
Hover,"Some creatures can ho ver, as noted in their stat blocks, and some spells and other effects gr ant the ability to ho ver. Hovering while flying pr events you from falling in cer tain cir cumstances. See also “Flying .”"
Illusions,"Spells and other effects sometimes cr eate magical illusions. Such an effect defines what the illusion does and which senses or mental faculties it deceiv es. If an illusion manif ests in space, the illusion is insubstantial and weightless, y et it seems to be affected by the envir onment as if the illusion wer e real unless the effect that created it specifies other wise. for example, a visual illusion of a creature casts shadows and r eflections, and wind appears to aff ect the illusor y creature. Similarly , an audible illusion echoes in an echoe y space."
Immunity,"If you have Immunity to a damage type or a condition, it doesn ’t aff ect you in any wa y."
Impr ovised Weapons,"An impr ovised weapon is an object wielded as a mak eshift weapon, such as br oken glass, a table leg, or a fr ying pan. A Simple or Mar tial weapon also counts as an impr ovised weapon if it’ s wielded in a wa y contr ary to its design; if you use a Ranged weapon to make a melee attack or throw a Melee weapon that lacks the Thr own proper ty, the weapon counts as an impr ovised weapon. An impr ovised weapon follows the rules below . Proficiency . Don ’t add your Proficiency Bonus to attack rolls with an impr ovised weapon. Damage. On a hit, the weapon deals 1d4 damage of a type the DM thinks is appr opriate for the object. Range. If you throw the weapon, it has a normal range of 20 feet and a long range of 60 feet. Weapon E quiv alents. If an impr ovised weapon r esembles a Simple or Mar tial weapon, the DM ma y say it functions as that weapon and uses that weapon ’s rules. for example, the DM could tr eat a table leg as a Club."
Incapacitated [Condition],"While you have the Incapacitated condition, you experience the following effects. Inactiv e. You can ’t take any action , Bonus Action , or Reaction . No Concentration. Your Concentration is br oken. Speechless. You can ’t speak. Surprised. If you’re Incapacitated when you roll Initiative, you have Disadvantage on the roll."
