term,definition
Indiff erent [A ttitude],An Indiff erent creature has no desir e to help or hinder you. Indiff erent is the default attitude of a monster . See also “Influence .”
Influence [Action],"With the Influence action, you ur ge a monster to do something. Describe or r olepla y how you’re communicating with the monster . Are you tr ying to deceiv e, intimidate, amuse, or gently persuade? The DM then determines whether the monster feels willing, unwilling, or hesitant due to your inter action; this determination establishes whether an ability check is necessar y, as explained below . Willing. If your ur ging aligns with the monster ’s desir es, no ability check is necessar y; the monster fulfills your r equest in a wa y it pr efers. Unwilling. If your ur ging is r epugnant to the monster or counter to its alignment, no ability check is necessar y; it doesn ’t comply . Hesitant. If you ur ge the monster to do something that it is hesitant to do, you must make an ability check, which is affected by the monster ’s attitude: Indiff erent, Friendly , or Hostile , each of which is defined in this glossary. The Influence Checks table suggests which ability check to make based on how you’re inter acting with the monster . The DM chooses the check, which has a default DC equal to 15 or the monster ’s Intelligence score, whiche ver is higher . On a successful check, the monster does as ur ged. On a failed check, you must wait 24 hours (or a dur ation set by the DM) before urging it in the same wa y again."
Ability Check Inter action,Charisma ( Deception ) Deceiving a monster that understands you Charisma ( Intimidation ) Intimidating a monster Charisma ( Performance ) Amusing a monster Charisma ( Persuasion ) Persuading a monster that understands you Wisdom ( Animal Handling ) Gently coaxing a Beast or Monstr osity
Initiative,"Initiative determines the or der of turns during combat. The combat rules in chapter 1 explain how to roll Initiative. Sometimes a DM might have combatants use their Initiative scores instead of r olling Initiative. Your Initiative score equals 10 plus your Dexterity modifier . If you have Advantage on Initiative rolls, incr ease your Initiative score by 5. If you have Disadvantage on those rolls, decr ease that score by 5. See also chapter 1 (“ Combat ”)."
Invisible [Condition],"While you have the Invisible condition, you experience the following effects. Surprise. If you’re Invisible when you roll Initiative, you have Advantage on the roll. Concealed. You ar en’t affected by any effect that r equir es its tar get to be seen unless the effect’s creator can somehow see you. Any equipment you are wearing or carr ying is also concealed. Attacks affected. Attack rolls against you have Disadvantage , and your attack rolls have Advantage. If a creature can somehow see you, you don ’t gain this benefit against that creature."
Jumping,"When you jump, you make either a Long Jump (horiz ontal) or a High Jump (v ertical). See also “Long Jump ” and “ High Jump .”"
Knocking Out a creature,"When you would r educe a creature to 0 Hit Points with a melee attack, you can instead r educe the creature to 1 Hit Point. The creature then has the Unconscious condition and star ts a Shor t Rest . The creature remains Unconscious until it r egains any Hit Points or until someone uses an action to administer first aid to it, which r equir es a successful DC 10 Wisdom ( Medicine ) check."
Lightly Obscur ed,You have Disadvantage on Wisdom ( P er ception ) checks to see something in a Lightly Obscur ed space. See also “Dim Light ” and chapter 1 (“ Explor ation ”).
Line [area of Effect],A Line is an area of effect that extends from a point of origin in a straight path along its length and co vers an area defined by its width. The effect that creates a Line specifies its length and width. A Line ’s point of origin isn ’t included in the area of effect unless its cr eator decides other wise.
Long Jump,"When you make a Long Jump, you leap horiz ontally a number of feet up to your Strength score if you mo ve at least 10 feet immediately before the jump. When you make a standing Long Jump, you can leap only half that distance. Either way, each foot you jump costs a foot of movement. If you land in Diﬃcult Terrain, you must succeed on a DC 10 Dexterity ( Acr obatics ) check or have the Prone condition. This Long Jump rule assumes that the height of the jump doesn ’t matter , such as a jump acr oss a str eam or chasm. A t your DM’ s option, you must succeed on a DC 10 Strength ( A thletics ) check to clear a low obstacle (no taller than a quar ter of the jump ’s distance), such as a hedge or low wall. Other wise, you hit the obstacle."
Long Rest,"A Long Rest is a period of extended downtime—at least 8 hours—a vailable to any creature. During a Long Rest, you sleep for at least 6 hours and per form no more than 2 hours of light activity , such as r eading, talking, eating, or standing watch. During sleep, you have the Unconscious condition. After you finish a Long Rest, you must wait at least 16 hours before starting another one. Benefits of the Rest. To star t a Long Rest, you must have at least 1 Hit Point. When you finish the r est, you gain the following benefits: Regain All HP . You regain all lost Hit Points and all spent Hit Point Dice. If your Hit Point maximum was r educed, it returns to normal. Ability Scores Rest ored. If any of your ability scores wer e reduced, they return to normal. Exhaustion Reduced. If you have the Exhaustion condition, its le vel decr eases by 1. Special Feature. Some features are rechar ged by a Long Rest. If you have such a f eatur e, it r echar ges in the wa y specified in its description. Interrupting the Rest. A Long Rest is st opped by the following interruptions:"
1 hour of walking or other physical ex ertion,"If you rested at least 1 hour before the interruption, you gain the benefits of a Shor t Rest. See also “Shor t Rest .” You can r esume a Long Rest immediately after an interruption. If you do so, the r est r equir es 1 additional hour per interruption to finish."
Magic [Action],"When you take the Magic action, you cast a spell that has a casting time of an action or use a f eatur e or magic item that requir es a Magic action to be activ ated. If you cast a spell that has a casting time of 1 minute or longer , you must take the Magic action on each turn of that casting, and you must maintain Concentration while you do so. If your Concentration is br oken, the spell fails, but you don’t expend a spell slot. See also “Concentration .”"
Magical Effect,"An effect is magical if it is created by a spell, a magic item, or a phenomenon that a rule labels as magical."
Malnutrition [Hazar d],"A creature needs an amount of food per da y based on its siz e, as shown in the F ood Needs per Da y table. A creature that eats but consumes less than half the r equir ed food for a da y must succeed on a DC 10 Constitution saving throw or gain 1 Exhaustion le vel at the da y’s end. A creature that eats nothing for 5 da ys aut omatically gains 1 Exhaustion le vel at the end of the fifth da y as well as an additional le vel at the end of each subsequent da y without food. Exhaustion caused by malnutrition can ’t be r emo ved until the creature eats the full amount of food r equir ed for a da y. See also “Exhaustion .”"
Monster,"A monster is a creature contr olled by the DM, e ven if the creature is bene volent. See also “Creature” and “ NPC .”"
Nonpla yer Character,A nonpla yer character (NPC ) is a monster that has a personal name and a distinct personality . See also “Monster .”
Object,"An object is a nonliving, distinct thing. Composite things, lik e buildings, comprise more than one object. See also “Breaking Objects .”"
Occupied Space,A space is occupied if a creature is in it or if it is completely filled by objects.
Opportunity Attacks,"You can make an Opportunity Attack when a creature that you can see lea ves your r each using its action, its Bonus Action, its Reaction , or one of its speeds. To make the Opportunity Attack, take a Reaction to make one melee attack with a weapon or an Unarmed Strik e against the pr ovoking creature. The attack occurs right before the creature lea ves your r each. See also chapter 1 (“ Combat ”)."
Paralyzed [Condition],"While you have the Paralyzed condition, you experience the following effects. Incapacitated. You have the Incapacitated condition. Speed 0. Your Speed is 0 and can ’t incr ease. Saving Throws affected. You aut omatically fail Strength and Dexterity saving thr ows. Attacks affected. Attack rolls against you have Advantage . Automatic Critical Hits. Any attack roll that hits you is a Critical Hit if the attack er is within 5 feet of you."
Passiv e Perception,"Passiv e Perception is a score that r eflects a creature’s gener al awar eness of its surr oundings. The DM uses this score when determining whether a creature notices something without consciously making a Wisdom ( P er ception ) check. A creature’s Passiv e Perception equals 10 plus the creature’s Wisdom ( P er ception ) check bonus. If the creature has Advantage on such checks, incr ease the score by 5. If the creature has Disadvantage on them, decr ease the score by 5. For example, a le vel 1 character with a Wisdom of 15 and proficiency in Perception has a P assiv e Perception of 14 (10 + 2 + 2). If that character has Advantage on Wisdom ( P er ception ) checks, the score becomes 19."
Per Da y,"If a rule sa ys you can use something a cer tain number of times per da y, that means you must finish a Long Rest to use it again after you run out of uses."
Petrified [Condition],"While you have the P etrified condition, you experience the following effects. Turned to Inanimate Substance. You are transformed, along with any nonmagical objects you are wearing and carr ying, into a solid inanimate substance (usually st one). your weight incr eases by a fact or of ten, and you cease aging. Incapacitated. You have the Incapacitated condition. Speed 0. Your Speed is 0 and can ’t incr ease. Attacks affected. Attack rolls against you have Advantage . Saving Throws affected. You aut omatically fail Strength and Dexterity saving thr ows. Resist Damage. You have Resistance to all damage. Poison Immunity . You have Immunity to the Poisoned condition."
Player Character,A pla yer character is a character contr olled by a pla yer. See also chapter 2 .
Poisoned [Condition],"While you have the Poisoned condition, you experience the following effect. Ability Checks and Attacks affected. You have Disadvantage on attack rolls and ability checks."
Possession,Some effects cause a creature to be possessed by another creature or entity . A possessing effect defines how the possession oper ates. P ossession can be pr evented by the Protection from Evil and Good spell and ended by the Dispel Evil and Good spell.
Proficiency,"If you have proficiency with something, you can add your Proficiency Bonus to any D20 Test you make using that thing. A creature might have proficiency in a skill or saving throw or with a weapon or t ool. See also chapter 1 (“ Proficiency ”)."
Prone [Condition],"While you have the Prone condition, you experience the following effects. Restricted Movement. Your only movement options are to crawl or to spend an amount of movement equal to half your Speed (round down) to right y ourself and ther eby end the condition. If your Speed is 0, you can ’t right y ourself. Attacks affected. You have Disadvantage on attack rolls. An attack roll against you has Advantage if the attack er is within 5 feet of you. Other wise, that attack roll has Disadvantage."
Reach,A creature has a r each of 5 feet unless a rule sa ys other wise.
Reaction,"A Reaction is a special action tak en in r esponse to a trigger defined in the Reaction ’s description. you can take a Reaction on another creature’s turn, and if you take it on your turn, you can do so e ven if you also take an action, a Bonus Action , or both. Once you take a Reaction, you can ’t take another one until the star t of your next turn. The Opportunity Attack is a Reaction a vailable to all creatures. See also “Opportunity Attacks ” and chapter 1 (“ Actions ”)."
Ready [Action],"You take the Ready action to wait for a par ticular cir cumstance before you act. To do so, you take this action on your turn, which lets you act by taking a Reaction before the star t of your next turn. First, you decide what per ceivable cir cumstance will trigger your Reaction. Then, you choose the action you will take in response to that trigger , or you choose to mo ve up to your Speed in response to it. Examples include “If the cultist steps on the tr apdoor , I’ll pull the le ver that opens it, ” and “If the z ombie steps next to me, I mo ve awa y.” When the trigger occurs, you can either take your Reaction right after the trigger finishes or ignor e the trigger . When you Ready a spell, you cast it as normal (expending any r esour ces used to cast it) but hold its energy, which you release with your Reaction when the trigger occurs. To be r eadied, a spell must have a casting time of an action, and holding on to the spell’ s magic r equir es Concentration , which you can maintain up to the star t of your next turn. If your Concentration is br oken, the spell dissipates without taking effect."
Resistance,"If you have Resistance to a damage type, damage of that type is halv ed against you (r ound down). Resistance is applied only once to an instance of damage. See also chapter 1 (“ Damage and Healing ”)."
Restrained [Condition],"While you have the Restrained condition, you experience the following effects. Speed 0. Your Speed is 0 and can ’t incr ease. Attacks affected. Attack rolls against you have Advantage , and your attack rolls have Disadvantage . Saving Throws affected. You have Disadvantage on Dexterity saving throws."
Ritual,"If you have a spell pr epar ed that has the Ritual tag, you can cast that spell as a Ritual. The Ritual v ersion of a spell takes 10 minutes longer to cast than normal. It also doesn ’t expend a spell slot, which means the ritual v ersion of a spell can ’t be cast at a higher le vel. See also chapter 7 ."
Round Down,"Whene ver you divide or multiply a number in the game, r ound down if you end up with a fr action, e ven if the fr action is one-half or gr eater . Some rules make an ex ception and tell you to round up."
Save,Save is another name for a saving throw. See also “Saving Throw.”
Saving Throw,"A saving throw—also called a sa ve—represents an attempt to avoid or r esist a thr eat. you normally make a saving throw only when a rule r equir es you to do so, but you can decide to fail the sa ve without r olling. The r esult of a sa ve is detailed in the effect that allowed it. If a target is for ced to make a sa ve and lacks the ability score used by it, the target automatically fails. See also chapter 1 (“ D20 Tests ”)."
Sear ch [Action],"When you take the Sear ch action, you make a Wisdom check to discern something that isn ’t ob vious. The Sear ch table suggests which skills are applicable when you take this action, depending on what you’re trying to detect."
Skill Thing to Detect,Insight Creature’s state of mind Medicine Creature’s ailment or cause of death
Shape-Shifting,"If an effect, such as Wild Shape or the Polymorph spell, lets you shape-shift, its description specifies what happens to you. Unless that description sa ys other wise, any ongoing effects on you— conditions , spells , curses , and the lik e—carr y over from one form to the other . You revert to your true form if you die."
Shor t Rest,"A Shor t Rest is a 1-hour period of downtime, during which a creature does nothing more str enuous than r eading, talking, eating, or standing watch. To star t a Shor t Rest, you must have at least 1 Hit Point. Benefits of the Rest. When you finish the r est, you gain the following benefits: Spend Hit Point Dice. You can spend one or more of your Hit Point Dice to regain Hit Points . For each Hit Point Die you spend in this wa y, roll the die and add your Constitution modifier to it. you regain Hit Points equal to the total (minimum of 1 Hit Point). you can decide to spend an additional Hit Point Die after each roll. Special Feature. Some features are rechar ged by a Shor t Rest. If you have such a f eatur e, it r echar ges in the wa y specified in its description. Interrupting the Rest. A Shor t Rest is st opped by the following interruptions:"
Taking any damage,An interrupted Shor t Rest conf ers no benefits.
Simultaneous Effects,"If two or more things happen at the same time on a turn, the person at the game table—pla yer or DM—whose turn it is decides the or der in which those things happen. for example, if two effects occur at the star t of a pla yer character ’s turn, the pla yer decides which of the effects happens first."
Size,"A creature or an object belongs to a siz e categor y: Tiny, Small, Medium, Lar ge, Huge, or Gar gantuan. A creature’s siz e determines how much space the creature occupies in combat. An object’ s siz e aff ects its Hit Points . See also “Breaking Objects ” and chapter 1 (“ Combat ”)."
Skill,"A skill is an area of specialization associated with an ability check. If you have proficiency in a skill, you can add your Proficiency Bonus when you make an ability check associated with that skill. See also chapter 1 (“ Proficiency ”)."
Speed,"A creature has a Speed, which is the distance in feet the creature can cover when it mo ves on its turn. See also “Climbing ,” “Crawling ,” “Flying ,” “Jumping ,” “Swimming ” and chapter 1 (“ Combat ”). Special Speeds. Some creatures have special speeds, such as a Burrow Speed , Climb Speed , Fly Speed , or Swim Speed , each of which is defined in this glossary. If you have more than one speed, choose which one to use when you mo ve; you can switch between the speeds during your mo ve. Whene ver you switch, subtr act the distance alr eady mo ved from the new speed. The r esult determines how much far ther you can mo ve. If the r esult is 0 or less, you can ’t use the new speed during the curr ent mo ve. For example, if you have a Speed of 30 and a Fly Speed of 40, you could fly 10 feet, walk 10 feet, and leap into the air to fly 20 feet more. Changes to Your Speeds. If an effect incr eases or decr eases your Speed for a time, any special speed you have increases or decr eases by an equal amount for the same dur ation. for example, if your Speed is r educed to 0 and you have a Climb Speed, your Climb Speed is also r educed to 0. Similarly , if your Speed is halv ed and you have a Fly Speed, your Fly Speed is also halv ed."
Spell,A spell is a magical effect that has the char acteristics described in chapter 7 .
Spell Attack,A spell attack is an attack roll made as par t of a spell or another magical effect. See also chapter 7 (“ Casting Spells ”).
Spellcasting F ocus,A Spellcasting F ocus is an object that cer tain creatures can use in place of a spell’ s Material components if those materials ar en’t consumed by the spell and don ’t have a cost specified. Some classes allow its members to use cer tain types of Spellcasting F ocuses. See also chapter 7 (“ Casting Spells ”).
Sphere [area of Effect],A Sphere is an area of effect that extends in straight lines from a point of origin outwar d in all dir ections. The effect that creates a Sphere specifies the distance it extends as the r adius of the Sphere. A Sphere’s point of origin is included in the Sphere’s area of effect.
Stable,A creature is Stable if it has 0 Hit Points but isn ’t requir ed to make Death Saving Throws. See also chapter 1 (“ Damage and Healing ”).
Stat Block,"A stat block contains the game statistics of a monster . Each stat block includes the following information pr esented after the monster ’s name. Size. A monster is Tiny, Small, Medium, Lar ge, Huge, or Gar gantuan. See also “Size.” Creature Type. This entry notes the family of beings a monster belongs to, along with any descriptiv e tags. See also “Creature Type.” Alignment. An alignment is suggested for the monster , with the DM determining its actual alignment. See also “Alignment .” AC, Initiative, and HP . These entries giv e the monster ’s Armor Class , Initiative, and Hit Points , which are detailed in chapter 1 . In par entheses after the Hit Points, the monster ’s Hit Point Dice are provided, along with the contribution of its Constitution, if any , to its Hit Points. F ollowing the Initiative modifier is an Initiative score. Some creatures that are created by magic lack Hit Dice and Initiative information. Speed. Here the monster ’s Speed is provided, along with any special speeds. See also “Burrow Speed ,” “Climb Speed ,” “Fly Speed ,” and “ Swim Speed .” Ability Scores. A table provides the monster ’s ability scores, modifiers , and saving throw modifiers, all of which are detailed in chapter 1 . Skills. This entry lists the monster ’s skill proficiencies , if any . See also chapter 1 (“ Proficiency ”). Resistances and V ulner abilities. These entries list the monster ’s Resistances and V ulner abilities, if any . See also “Resistance ” and “ Vulner ability .” Immunities. This section lists the monster ’s damage and condition Immunities, if any . See also “Immunity .” Gear . If the monster has any equipment that can be giv en awa y or r etrie ved, it’ s listed in this entry. Senses. This entry lists the monster ’s special senses, such as Darkvision , and its P assiv e Perception. See also “Passiv e Perception .” Languages. This entry lists any languages the monster knows. CR. Challenge Rating summariz es the thr eat a monster poses and is detailed in the Monster Manual . The Experience Points char acters r eceiv e for def eating a monster and its Proficiency Bonus follow . Some creatures that are created by magic have no CR. See also “Challenge Rating ” and “ Experience Points .” Traits. The monster ’s traits, if any , are features that are activ e at all times or in cer tain situations. Actions. The monster can take these actions in addition to those detailed in this glossary. See also chapter 1 (“Actions ”). Bonus Actions. If the monster has Bonus Action options, they are listed in this section. Reactions. If the monster can take special Reactions , those are listed in this section. Attack Notation. The entry for a monster ’s attack star ts by identifying whether the attack is a melee or a ranged attack and then provides the attack roll’s bonus, its r each or range, and what happens on a hit. An attack is against one target unless its entry says other wise. Saving Throw Effect Notation. If an effect for ces a saving throw, the effect’s entry star ts by identifying the kind of saving throw r equir ed and then provides the sa ve’s DC, a description of which creatures must make the sa ve, and what happens on a failed or a successful sa ve. Damage Notation. A stat block usually provides both a static number and a die expr ession for each instance of damage. For example, an attack might deal 4 (1d4 + 2) damage on a hit. The DM determines whether you use the static number or the die expr ession in par entheses; you don ’t use both."
Study [Action],"When you take the Study action, you make an Intelligence check to study your memor y, a book, a clue, or another sour ce of knowledge and call to mind an impor tant piece of information about it. The Areas of K nowledge table suggests which skills are applicable to various ar eas of knowledge."
Skill Areas,"Arcana Spells, magic items, eldritch symbols, magical tr aditions, planes of existence, and cer tain creatures (Aberr ations, Constructs, Elementals, F ey, and Monstr osities) History Historic e vents and people, ancient civilizations, wars, and cer tain creatures (Giants and Humanoids) Investigation Traps, ciphers, riddles, and gadgetr y Natur e Terrain, flor a, weather , and cer tain creatures (Beasts, Dr agons, Oo zes, and Plants) Religion Deities, r eligious hier archies and rites, holy symbols, cults, and cer tain creatures (Celestials, Fiends, and Undead)"
Stunned [Condition],"While you have the Stunned condition, you experience the following effects. Incapacitated. You have the Incapacitated condition. Saving Throws affected. You aut omatically fail Strength and Dexterity saving thr ows. Attacks affected. Attack rolls against you have Advantage ."
Suffocation [Hazar d],"A creature can hold its br eath for a number of minutes equal to 1 plus its Constitution modifier (minimum of 30 seconds) before suffocation begins. When a creature runs out of br eath or is choking, it gains 1 Exhaustion level at the end of each of its turns. When a creature can br eathe again, it r emo ves all le vels of Exhaustion it gained from suffocating."
Surprise,"If a creature is caught unawar es by the star t of combat, that creature is surprised, which causes it to have Disadvantage on its Initiative roll. See also chapter 1 (“ Combat ”)."
Swimming,"While you’re swimming, each foot of movement costs 1 extr a foot (2 extr a feet in Diﬃcult Terrain). You ignor e this extr a cost if you have a Swim Speed and use it to swim. A t the DM’ s option, mo ving any distance in r ough water might r equir e a successful DC 15 Strength ( A thletics ) check."
Swim Speed,A Swim Speed can be used to swim without expending the extr a movement normally associated with swimming. See also “Swimming ” and “ Speed .”
Target,"A target is the creature or object tar geted by an attack roll, for ced to make a saving throw by an effect, or selected to receiv e the effects of a spell or another phenomenon."
Telepathy,"Telepathy is a magical ability that allows a creature to communicate mentally with another creature within a specified range. Unless a rule states other wise, the contacted creature doesn ’t need to shar e a language with the telepath to understand this communication, but the contacted creature must be able to understand at least one language or be telepathic itself to understand. A telepath doesn ’t need to see a contacted creature, and the telepath can star t or end the telepathic contact at any time (no action r equir ed). Telepathic contact can ’t be initiated and is immediately br oken if either the telepath or the other creature has the Incapacitated condition. Telepathic contact is also br oken if the contacted creature is no longer within the telepathy ’s range or if the telepath contacts a diff erent creature within range. A creature without telepathy can r eceiv e telepathic messages but can ’t initiate a telepathic conv ersation. Once a telepathic conv ersation star ts, the non-telepath can communicate mentally to the telepath until the telepathic connection ends."
Telepor tation,"Telepor tation is a special kind of magical tr anspor tation. If you telepor t, you disappear and r eappear elsewhere instantly , without mo ving through the inter vening space. This tr anspor tation doesn ’t expend mo vement unless a rule tells you other wise, and telepor tation ne ver pr ovokes Opportunity Attacks . When you telepor t, all the equipment you’re wearing and carr ying telepor ts with you. If you’re touching another creature when you telepor t, that creature doesn ’t telepor t with you unless the telepor tation effect sa ys other wise. If the destination space of your telepor tation is occupied by another creature or blocked by a solid obstacle, you instead appear in the near est unoccupied space of your choice. The description of a telepor tation effect tells you if you must see the telepor tation ’s destination."
Temporary Hit Points,Temporary Hit Points are granted by cer tain effects and act as a buff er against losing r eal Hit Points . See also chapter 1 (“Damage and Healing ”).
Tremorsense,"A creature with Tremorsense can pinpoint the location of creatures and mo ving objects within a specific range, provided that the creature with Tremorsense and anything it is detecting are both in contact with the same sur face (such as the ground, a wall, or a ceiling) or the same liquid. Tremorsense can ’t detect creatures or objects in the air , and it doesn ’t count as a form of sight."
Truesight,"If you have Truesight, your vision is enhanced within a specified range. Within that range, your vision pier ces through the following: Darkness. You can see in normal and magical Darkness . Invisibility . You see creatures and objects that have the Invisible condition. Visual Illusions. Visual illusions appear tr anspar ent to you, and you aut omatically succeed on saving throws against them. Transformations. You discern the true form of any creature or object you see that has been tr ansformed by magic. Ethereal Plane. You see into the Ethereal Plane. See also appendix A (“ Transitive Planes ”)."
Unarmed Strik e,"Instead of using a weapon to make a melee attack, you can use a punch, kick, headbutt, or similar for ceful blow . In game terms, this is an Unarmed Strik e—a melee attack that inv olves you using your body to damage, gr apple, or sho ve a target within 5 feet of you. Whene ver you use your Unarmed Strik e, choose one of the following options for its effect. Damage. You make an attack roll against the target. your bonus to the roll equals your Strength modifier plus your Proficiency Bonus. On a hit, the target takes Bludgeoning damage equal to 1 plus your Strength modifier . Grapple. The tar get must succeed on a Strength or Dexterity saving throw (it chooses which), or it has the Grappled condition. The DC for the saving throw and any escape attempts equals 8 plus your Strength modifier and Proficiency Bonus. This gr apple is possible only if the target is no more than one siz e lar ger than you and if you have a hand fr ee to grab it. Shove. The tar get must succeed on a Strength or Dexterity saving throw (it chooses which), or you either push it 5 feet away or cause it to have the Prone condition. The DC for the saving throw equals 8 plus your Strength modifier and Proficiency Bonus. This sho ve is possible only if the target is no more than one siz e lar ger than you. See also “Grappling .”"
Unconscious [Condition],"While you have the Unconscious condition, you experience the following effects. Inert. You have the Incapacitated and Prone conditions, and you dr op whate ver you’re holding. When this condition ends, you remain Prone. Speed 0. Your Speed is 0 and can ’t incr ease. Attacks affected. Attack rolls against you have Advantage . Saving Throws affected. You aut omatically fail Strength and Dexterity saving thr ows. Automatic Critical Hits. Any attack roll that hits you is a Critical Hit if the attack er is within 5 feet of you. Unawar e. You’re unawar e of your surr oundings."
Unoccupied Space,A space is unoccupied if no creatures are in it and it isn ’t completely filled by objects.
Utiliz e [Action],"You normally inter act with an object while doing something else, such as when you dr aw a swor d as par t of the Attack action. When an object r equir es an action for its use, you take the Utiliz e action."
Vulner ability,"If you have Vulner ability to a damage type, damage of that type is doubled against you. V ulner ability is applied only once to an instance of damage. See also chapter 1 (“ Damage and Healing ”)."
Weapon,A weapon is an object that is in the Simple or Mar tial weapon categor y. See also chapter 6 (“ Weapons ”).
Weapon Attack,A weapon attack is an attack roll made with a weapon. See also “Weapon .” ARTIST: NOOR RAHM AN ARTIST: NOOR RAHM AN ARTIST: NOOR RAHM AN ARTIST: NOOR RAHM AN
Glossary Conv entions,Rules Definitions SOURCES DUNGEONS & DRA GONS PLAYER’S H ANDBOOK RULES GL OSSAR Y ---PAGE BREAK---
